Year,Region,Average Median Sale Price,Average Median Sale to List Ratio
2009,"Oxnard, CA",372904.35576923075,
2009,"Palm Bay, FL",119497.72115384616,
2009,"Panama City, FL",,
2009,"Pensacola, FL",133811.1826923077,
2009,"Peoria, IL",104177.01923076923,
2009,"Philadelphia, PA",195778.04807692306,
2009,"Phoenix, AZ",126737.73267326732,
2009,"Pittsburgh, PA",108351.94230769231,
2009,"Port St. Lucie, FL",114332.46153846153,
2009,"Portland, ME",197262.02884615384,
2009,"Portland, OR",238620.49038461538,
2009,"Poughkeepsie, NY",,
2009,"Prescott Valley, AZ",185471.03846153847,
2009,"Providence, RI",196331.95192307694,
2009,"Provo, UT",210618.21153846153,
2009,"Punta Gorda, FL",111719.31730769231,
2009,"Raleigh, NC",175310.54807692306,
2009,"Reading, PA",139668.44660194175,
2009,"Reno, NV",186742.18446601942,
2009,"Richmond, VA",185880.3076923077,
2009,"Riverside, CA",167377.86538461538,
2009,"Rochester, MN",,
2009,"Rochester, NY",112669.79807692308,
2009,"Rockford, IL",106127.22115384616,
2009,"Sacramento, CA",203313.29807692306,
2009,"Salisbury, MD",215164.45918367346,
2009,"Salt Lake City, UT",219499.16346153847,
2009,"San Antonio, TX",143958.85576923078,
2009,"San Diego, CA",321569.76923076925,
2009,"San Francisco, CA",337565.125,
2009,"San Jose, CA",456587.8173076923,
2009,"San Luis Obispo, CA",383639.2727272727,
2009,"Santa Maria, CA",302313.7788461539,
2009,"Santa Rosa, CA",323174.28846153844,
2009,"Savannah, GA",154175.1568627451,
2009,"Scranton, PA",101451.03846153847,
2009,"Seattle, WA",295615.82692307694,
2009,"Sebastian, FL",130242.0,
2009,"Spokane, WA",162137.86538461538,
2009,"Springfield, IL",,
2009,"Springfield, MA",173435.72115384616,
2009,"Springfield, MO",115852.08653846153,
2009,"St. Louis, MO",131366.3076923077,
2009,"Stockton, CA",157373.6826923077,
2009,"Tallahassee, FL",153569.23076923078,
2009,"Tampa, FL",126574.89423076923,
